50641007508,"ФИЛИАЛ АО ""ФАЙН ОТЕЛЬ ТУРИЗМ ИШЛЕТМЕДЖИЛИК"" В Г. АСТАНА",55101,Предоставление услуг гостиницами с ресторанами,711210000,"г. Астана район ""Есиль""",305,Крупные предприятия (от 251 до 500 чел.)
90440018022,"ТОО ""КОМПАНИЯ ПО УПРАВЛЕНИЮ ГОСТИНИЧНЫМ БИЗНЕСОМ ""СОЛАКС""",55101,Предоставление услуг гостиницами с ресторанами,711210000,"г. Астана район ""Есиль""",305,Крупные предприятия (от 251 до 500 чел.)
92064000805,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАХСКО-АВСТРИЙСКОЕ СОВМЕСТНОЕ ПРЕДПРИЯТИЕ ""РАХАТ""",55101,Предоставление услуг гостиницами с ресторанами,751410000,г. Алматы Бостандыкский район,305,Крупные предприятия (от 251 до 500 чел.)
95094000089,"АО ""КАЗАХСТАНСКО-ТУРЕЦКОЕ СОВМЕСТНОЕ ПРЕДПРИЯТИЕ ""АЙТ-ОТЕЛЬ""",55101,Предоставление услуг гостиницами с ресторанами,751410000,г. Алматы БОСТАНДЫКСКИЙ РАЙОН,305,Крупные предприятия (от 251 до 500 чел.)
60440008595,"ТОО ""SOLIS LTD.""",55101,Предоставление услуг гостиницами с ресторанами,751110000,г. Алматы АЛМАЛИНСКИЙ РАЙОН,310,Крупные предприятия (от 501 до 1000 чел.)
70440007370,"ТОО ""THE CASPIAN INTERNATIONAL RESTAURANTS COMPANY (КАСПИАН ИНТЕРНЭШНЛ РЕСТРОНГЗ КОМПАНИ)""",56100,Рестораны и услуги по доставке продуктов питания,751410000,г. Алматы БОСТАНДЫКСКИЙ РАЙОН,310,Крупные предприятия (от 501 до 1000 чел.)
30940004862,"ТОО ""ФИРМА ""ПИЦЦА БЛЮЗ""",56100,Рестораны и услуги по доставке продуктов питания,631010000,Восточно-Казахстанская область Г. УСТЬ-КАМЕНОГОРСК,310,Крупные предприятия (от 501 до 1000 чел.)
20440003824,"ТОО ""ТАУ-ДАСТАРХАН""",56100,Рестораны и услуги по доставке продуктов питания,751410000,г. Алматы Бостандыкский район,310,Крупные предприятия (от 501 до 1000 чел.)
30440000861,"ТОО ""ДАСТАРХАН-TRADE""",56100,Рестораны и услуги по доставке продуктов питания,751110000,г. Алматы Алмалинский район,310,Крупные предприятия (от 501 до 1000 чел.)
971140001561,"ТОО ""ДАСТАРХАН""",56100,Рестораны и услуги по доставке продуктов питания,751110000,г. Алматы Алмалинский район,310,Крупные предприятия (от 501 до 1000 чел.)
70440007925,"ТОО ""КОМПАНИЯ ҚАҒАНАТ СЕРВИС""",56300,Подача напитков,751410000,г. Алматы Бостандыкский район,310,Крупные предприятия (от 501 до 1000 чел.)
970840002818,"ТОО ""ALMATY CATERING SERVICES""",56210,Доставка пищи на заказ,751910000,г. Алматы Турксибский район,310,Крупные предприятия (от 501 до 1000 чел.)
140740028598,"ТОО ""KENDALA SERVICES""",56299,"Прочие услуги, не вошедшие в другие группировки",751710000,г. Алматы Медеуский район,311,Крупные компании (от 1001 чел.)
110940020069,"ТОО ""АЛМА ИСТ ВЕСТ ГРУП""",56299,"Прочие услуги, не вошедшие в другие группировки",231010000,Атырауская область г. Атырау,310,Крупные предприятия (от 501 до 1000 чел.)
120340009315,"ТОО ""COMPLEX CATERING COMPANY""",56100,Рестораны и услуги по доставке продуктов питания,231010000,Атырауская область г. Атырау,310,Крупные предприятия (от 501 до 1000 чел.)
981240002662,"ТОО ""ЛИГАБУЕ ЦЕНТРАЛЬНАЯ АЗИЯ""",56299,"Прочие услуги, не вошедшие в другие группировки",273620100,Западно-Казахстанская область г. Аксай,310,Крупные предприятия (от 501 до 1000 чел.)
140005122,"ТОО ""МКС МУЛЬТИКАТЕРИНГ КАЗАХСТАН КО""",56299,"Прочие услуги, не вошедшие в другие группировки",273620100,Западно-Казахстанская область г. Аксай,310,Крупные предприятия (от 501 до 1000 чел.)
20240000802,"ТОО ""ЮСС СУПОРТ СЕРВИСЕЗ""",56299,"Прочие услуги, не вошедшие в другие группировки",231010000,Атырауская область г. Атырау,311,Крупные компании (от 1001 чел.)
21040002379,"ТОО ""ТЕХ.ЭКСПЕРТ""",56299,"Прочие услуги, не вошедшие в другие группировки",631010000,Восточно-Казахстанская область г. Усть-Каменогорск,310,Крупные предприятия (от 501 до 1000 чел.)
