BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
011241007241,,,,,,,,,,
020140001173,,1742571942.6,1712478086.6,1992813417.1,2355022193.8,532230066.7,,,,
020541007053,,,,,,,,,,
021041001594,,5786737328.7,9519644655.2,10521879516.2,12258004260.5,5153558027.8,,,,
030840004016,,1194919900.2,1320020981.2,1970691585.6,3911335761.1,1166428594.2,,,,
040340008667,,6190726955.4,10446819492.5,13991236404.7,14652447901.4,2135373800.5,,,,
040541002353,,3527348551.2,5652701846.8,5326209791.8,5063545917.7,1855047983.5,,,,
041041008634,,598335017.3,877908942.4,1110193670.8,1248174206.6,115726658.0,,,,
050640000298,,1042126352.8,2998739235.3,3098099694.6,2845419152.5,1401661660.3,,,,
070841001074,,0,0,0,0,0,,,,
110340012600,,1696437104.7,2145036006.8,1940707427.0,1896584891.7,600691184.4,,,,
130840021720,,481105058.6,587692833.0,716264259.1,883553145.3,255233187.3,,,,
920140000301,,51290022.5,77441515.5,71534556.8,86259223.0,25374441.8,,,,
930340000648,,4676744606.2,5858454249.2,6704586382.4,6674689087.0,2169557839.6,,,,
931240000052,,1241746324.7,1320991456.6,1514571352.6,1846055932.0,611872099.3,,,,
931240001060,,116033078968.0,190172547278.1,130051921977.6,127941038800.7,27528202079.9,,,,
950640000404,,-883673921.0,-1890128681.0,2245884965.6,-2280391825.2,-31548798.0,,,,
951040000069,,21614513406.5,71997616041.5,97420012478.6,21059809168.4,-1647690139.9,,,,
960740001478,,104505781.2,56048304.0,20266482.2,-14266394.0,2796097.7,,,,
970541000509,,,,,,,,,,
990240007563,,550277014.4,781072954.0,891275057.5,1295909678.2,473618336.0,,,,
990540000041,,94588761.9,68356615.2,133599382.8,179742609.7,28055823.5,,,,
990540004410,,84706.0,-14922.0,0,0,0,,,,
991140004489,,1920038993.6,250409414.5,685795467.5,652873750.7,316163270.0,,,,
